Nume,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,World
0,Assassin's Creed IV: Black Flag,2013,Action-Adventure,Ubisoft,1.07,1.55,0.06,0.51,3.19
1,Just Dance 2014,2013,Music,Ubisoft,0.21,0.18,0,0.08,0.47
2,Assassin's Creed: Unity,2014,Action,Ubisoft,1.25,2.16,0.09,0.65,4.14
3,Far Cry 4,2014,Shooter,Ubisoft,1.18,2.14,0.11,0.63,4.06
4,Just Dance 2015,2014,Music,Ubisoft,0.21,0.13,0,0.07,0.41
5,Rayman Legends,2014,Platform,Ubisoft,0.22,1.05,0,0.23,1.5
6,Rocksmith 2014,2014,Music,Ubisoft,0.38,0.17,0,0.12,0.67
7,The Crew,2014,Racing,Ubisoft,0.44,1.04,0.03,0.27,1.79
8,Trials Fusion,2014,Misc,Ubisoft,0.13,0.23,0.01,0.07,0.43
9,Watch Dogs,2014,Action-Adventure,Ubisoft,1.4,2.13,0.11,0.68,4.32
10,Assassin's Creed Syndicate,2015,Action,Ubisoft,0.9,2.06,0.08,0.55,3.6
11,Just Dance 2016,2015,Music,Ubisoft,0.19,0.13,0,0.07,0.39
12,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,1.29,2.06,0.36,0.64,4.36
13,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.14,0.52,0.02,0.12,0.79
14,Far Cry: Primal,2016,Action-Adventure,Ubisoft,0.63,1.61,0.07,0.41,2.73
15,Steep,2016,Sports,Ubisoft,0.23,0.6,0.02,0.15,1.01
16,Tom Clancy's The Division,2016,Shooter,Ubisoft,1.49,2.04,0.16,0.69,4.37
17,TrackMania Turbo,2016,Racing,Ubisoft,0.04,0.35,0,0.07,0.47
18,Watch Dogs 2,2016,Action,Ubisoft,0.98,1.74,0.12,0.52,3.36
19,Assassin's Creed Origins,2017,Action,Ubisoft,1.22,2.11,0.11,0.63,4.06
20,For Honor,2017,Action,Ubisoft,0.73,0.66,0.07,0.28,1.75
21,South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,0.62,0.57,0,0.24,1.43
22,Tom Clancy's Ghost Recon Wildlands,2017,Shooter,Ubisoft,1.07,1.35,0.22,0.47,3.12
23,Far Cry 5,2018,Action,Ubisoft,1.44,1.73,0.15,0.62,3.95
24,The Crew 2,2018,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82
