Genres,Value
Tools,842
Sports,127
Finance,460
Action,98
Health & Fitness,381
Photography,341
Social,85
Dating,463
Simulation,39
Casual,234
Food & Drink,366
Strategy,424
Racing,58
House & Home,137
Libraries & Demo,107
Weather,200
Adventure,50
Art & Design,109
Card,283
Board,46
Word,59
Music,398
Casual;Action & Adventure,140
Educational;Pretend Play,231
Puzzle;Brain Games,260
Casual;Brain Games,220
Simulation;Action & Adventure,365
Entertainment;Brain Games,173
Casual;Creativity,193
Education;Creativity,85
Education;Action & Adventure,31
Educational;Creativity,64
Puzzle;Action & Adventure,38
Simulation;Pretend Play,44
Sports;Action & Adventure,392
Entertainment;Creativity,549
Card;Action & Adventure,623
Entertainment;Pretend Play,82
Adventure;Education,53
Strategy;Action & Adventure,88
Communication;Creativity,75
Racing;Pretend Play,335
Health & Fitness;Education,27
Card;Brain Games,29
Lifestyle;Pretend Play,257
Entertainment;Education,37
Travel & Local;Action & Adventure,48
Board;Pretend Play,41
