group,failed,successful,canceled,undefined,live,suspended
Film & Video,32904,23623,5755,854,332,117
Music,21752,24197,3305,2234,281,149
Publishing,23145,12300,3602,462,299,66
Games,16003,12518,6202,1,287,220
Technology,20616,6434,4715,3,424,377
Design,14814,10550,4152,2,305,247
Art,14131,11510,2222,0,194,96
Food,15969,6085,2211,0,184,153
Fashion,14182,5593,2650,3,250,138
Theater,3708,6534,608,1,41,21
Comics,4036,5842,842,0,76,23
Photo,6384,3305,986,1,48,55
Crafts,5703,2115,843,0,76,72
Journalism,3137,1012,523,0,31,52
Dance,1235,2338,163,1,18,13
