year,pop,rock
1956,0,0
1958,0,0
1959,0,1
1960,0,0
1961,0,0
1962,0,0
1963,0,2
1964,0,4
1965,0,7
1966,5,7
1967,3,15
1968,4,9
1969,3,22
1970,2,28
1971,3,28
1972,2,22
1973,2,21
1974,4,13
1975,4,25
1976,4,20
1977,5,37
1978,4,19
1979,11,20
1980,6,23
1981,2,11
1982,11,17
1983,6,17
1984,2,34
1985,4,20
1986,6,26
1987,9,19
1988,5,15
1989,1,22
1990,1,12
1991,4,33
1992,6,15
1993,4,15
1994,3,13
1995,11,15
1996,5,8
1997,3,11
1998,7,22
1999,7,11
2000,3,10
2001,5,7
2002,10,8
2003,10,5
2004,6,24
2005,11,10
2006,10,13
2007,8,9
2008,11,16
2009,17,14
2010,12,8
2011,13,7
2012,19,16
2013,15,5
2014,20,3
2015,7,8
2016,7,9
2017,22,12
2018,25,7
2019,8,7
