Year,Genre,Popularity
2004,adult standards,71
2000,album rock,39
2001,alternative hip hop,69
2007,alternative metal,76
2002,classic rock,59
2004,alternative pop rock,45
2002,pop,74
2006,modern rock,69
2004,modern rock,77
2002,detroit hip hop,82
2002,adult standards,49
2003,alternative rock,74
2000,dutch indie,34
2005,album rock,26
2007,garage rock,66
2006,dutch cabaret,48
2005,permanent wave,69
2005,alternative rock,57
2004,classic uk pop,46
2002,dance pop,74
2005,permanent wave,81
2009,modern folk rock,67
2006,dutch pop,55
2004,modern rock,69
2002,dutch pop,16
2008,dutch americana,50
2007,alternative dance,56
2002,detroit hip hop,71
2008,german pop,48
2004,afropop,59
2002,permanent wave,84
2007,album rock,57
2008,british soul,63
2002,adult standards,74
2006,british soul,72
2009,classic uk pop,44
2007,alternative rock,75
2006,irish rock,40
2002,alternative metal,72
2005,dutch pop,42
2003,disco,59
2009,big room,53
2004,alternative rock,74
2004,modern rock,78
2003,alternative metal,65
2002,dance pop,56
2008,art rock,43
2004,irish rock,65
2009,adult standards,67
2005,danish pop rock,51
2009,alternative rock,69
2000,dutch pop,52
2005,neo mellow,69
2008,alternative metal,52
2006,dance pop,67
2009,britpop,43
2004,irish rock,57
2006,dance pop,44
2001,boy band,77
2008,album rock,38
2005,carnaval limburg,32
2000,arkansas country,47
2008,dutch cabaret,48
2001,latin alternative,70
2000,alternative metal,77
2004,british soul,63
2001,dance pop,56
2002,album rock,59
2004,danish pop rock,55
2003,britpop,64
2008,british soul,73
2002,alternative metal,65
2008,british folk,58
2008,celtic,46
2009,modern folk rock,67
2003,pop,55
2004,chanson,58
2007,alternative metal,57
2006,dutch cabaret,30
2009,britpop,45
2002,dutch indie,45
2001,dutch pop,48
2000,celtic,70
2004,boy band,58
2005,alternative metal,72
2006,dutch pop,42
2007,dutch indie,42
2007,dutch indie,43
2002,album rock,43
2002,alternative metal,65
2007,dutch indie,19
2003,celtic rock,74
2006,dutch cabaret,49
2002,dutch pop,41
2008,carnaval limburg,32
2009,modern rock,75
2007,dance pop,62
2005,carnaval limburg,38
2002,dutch cabaret,30
2002,alternative rock,39
2000,alternative metal,83
2008,german pop,44
2004,dutch indie,56
2003,classic rock,40
2003,dutch cabaret,58
2009,hip pop,75
2004,east coast hip hop,75
2009,dutch rock,47
2007,alternative metal,72
2007,classic uk pop,41
2006,neo mellow,74
2004,modern rock,54
2005,modern rock,80
2002,dutch pop,59
2005,detroit hip hop,77
2007,blues rock,59
2001,modern rock,51
2001,electro,71
2008,modern rock,76
2009,alternative dance,64
2008,dance pop,70
2008,australian pop,62
2009,dutch pop,39
2004,album rock,70
2001,adult standards,44
2003,dance pop,75
2005,alternative metal,75
2003,neo mellow,68
2006,belgian rock,42
2009,alternative dance,56
2001,downtempo,58
2001,dutch indie,36
