Developer,Count
Choice of Games,94
KOEI TECMO GAMES CO.,72
Ripknot Systems,62
Laush Dmitriy Sergeevich,51
Nikita "Ghost_RUS",50
Dexion Games,45
RewindApp,43
Hosted Games,42
Blender Games,40
Humongous Entertainment,36
For Kids,36
EnsenaSoft,35
Eipix Entertainment,32
Nekyau Games,32
Warfare Studios,31
HeR Interactive,30
MumboJumbo,29
Creobit,28
ERS G Studios,28
HexWar Games,27
Valve,26
Sly,26
Square Enix,25
Milestone S.r.l.,25
DRUNKEN APES,25
Winter Wolves,24
Arc System Works,23
Red Dolphin Games,23
United Independent Entertainment GmbH,22
Garnudo Games,22
