Distance,Average
12.21,0.1
17.04,0.1
22.22,0.8
20.44,1.3
27.88,2
10.2,2.3
10.43,2.4
51.81,3
48.18,3.1
17.36,3.9
16.48,4
56.17,4.6
70.96,4.9
57.92,5
4.57,6.2
19.46,6.3
62.77,6.4
0.02,6.6
20.43,6.6
62.65,6.8
20.58,6.9
18.8,7.3
20.01,7.3
23.45,7.4
19.75,7.5
28.82,7.6
28.77,7.8
21.01,8.2
32.95,8.2
20.64,8.7
15.17,9
18.98,9.2
70.04,9.2
180.42,9.3
17.86,9.5
17.98,9.5
13.88,9.7
1.35,9.8
0.01,10
1.41,10
0.34,10.2
12.95,10.3
3.23,10.4
41.98,10.6
16.31,10.7
20.74,10.7
18.5,10.8
25.65,10.9
22.42,11
0.4,11.2
1.98,11.4
4.05,11.5
17.45,11.5
17.25,11.6
20.74,11.6
17.26,11.7
37.73,11.7
0.09,11.8
39.14,11.9
43.18,11.9
7.75,12
10.55,12
31.19,12.1
21.91,12.2
10.34,12.4
26.05,12.4
15.43,12.5
0.23,12.6
1.91,12.6
2.87,12.8
20.75,12.8
57.67,12.8
25.48,12.9
12.83,13
14.41,13
14.46,13
13.22,13.1
23.48,13.2
49.75,13.2
19.66,13.4
40.87,13.4
0.64,13.6
14.47,13.6
21.13,13.6
25.67,13.6
0.69,13.7
1.16,13.9
1.86,13.9
3.81,13.9
6.88,13.9
0.98,14
8.89,14
41.49,14
19.73,14.1
27.28,14.1
45.09,14.1
0.5,14.3
21.98,14.3
41.04,14.3
77.08,14.3
21.45,14.4
23.4,14.4
0.01,14.5
1.5,14.5
19.14,14.5
34.76,14.5
0.36,14.6
20.9,14.6
5.35,14.7
0.2,14.8
0.73,14.8
7.28,14.8
17.64,14.8
58.04,14.8
68.27,14.8
0.86,15
2.16,15
14.94,15
20.01,15
20.42,15
29.52,15
10.61,15.1
13.59,15.1
24.36,15.1
27.97,15.1
52.35,15.1
57.33,15.2
73.02,15.2
1.33,15.3
1.38,15.3
5.01,15.3
14.9,15.3
21.02,15.3
21.05,15.3
42.22,15.3
2.32,15.4
5.23,15.4
14.71,15.4
20.6,15.5
24.82,15.5
42.65,15.5
5.77,15.6
13.63,15.6
19.85,15.6
23.36,15.6
31.2,15.6
36.97,15.6
52.35,15.6
21.05,15.7
23.15,15.7
2.64,15.8
2.45,15.9
39.51,15.9
0.74,16
8.35,16
8.55,16
19.18,16
20.86,16
0.64,16.1
1.21,16.1
12.32,16.1
36.99,16.1
3.08,16.2
18.57,16.2
20.59,16.2
21.59,16.2
42.4,16.2
69.61,16.2
14.34,16.3
15.95,16.3
5.56,16.4
13.73,16.4
25.66,16.4
2.18,16.5
14.75,16.5
25.92,16.5
4.6,16.6
0.35,16.7
9.64,16.7
0.79,16.8
7.11,16.8
9.09,16.8
9.8,16.8
27.1,16.8
0.92,16.9
1.67,16.9
18.59,16.9
0.01,17
1.79,17
1.62,17.1
10.66,17.1
43.23,17.1
0.78,17.2
15.35,17.2
16.35,17.2
16.84,17.2
2.99,17.3
42.25,17.3
0.14,17.4
15.04,17.4
21.33,17.4
15.96,17.5
26.5,17.5
51.09,17.5
1.88,17.6
2.7,17.7
14.65,17.7
28.8,17.7
28.94,17.7
81.01,17.7
14.74,17.8
19.79,17.8
70.37,17.8
81.35,17.8
98.94,17.8
15.78,17.9
17.7,17.9
47.46,17.9
24.39,18.1
26.1,18.1
24.09,18.2
28.14,18.2
29.15,18.2
30.47,18.2
43.59,18.2
10.09,18.3
11.69,18.4
14.45,18.4
15.14,18.4
15.19,18.4
30.23,18.4
17.84,18.5
24.28,18.5
15.48,18.6
21.88,18.6
1.6,18.8
10.5,18.8
18.05,18.8
20.88,18.8
27.02,18.8
36.15,18.8
11.12,18.9
12.48,18.9
18.53,18.9
32.69,18.9
11.14,19
13.65,19
15.45,19
26.84,19
43.07,19
81.24,19
87.27,19
32.1,19.1
10.33,19.2
16.14,19.2
19.44,19.3
33.86,19.3
36.21,19.3
37.2,19.3
90.28,19.3
6.4,19.4
59.3,19.4
2.7,19.5
5.53,19.5
5.64,19.6
13.97,19.6
32.15,19.6
5.27,19.7
0.56,19.8
15.65,19.8
49.6,19.8
20.53,19.9
45.72,19.9
11.22,20
15.73,20
13.08,20.1
14.62,20.2
16.3,20.2
10.07,20.3
13.38,20.3
20.8,20.3
61.64,20.3
8.68,20.4
13.09,20.4
18.86,20.4
58.77,20.4
23.37,20.6
36.88,20.6
134.36,20.6
1.92,20.7
2.24,20.7
18.2,20.8
27.32,20.9
0.3,21
19.16,21
39.63,21
0.1,21.2
38.47,21.2
33.09,21.3
3.75,21.4
1.83,21.5
7.01,21.7
0.29,21.8
5.41,21.8
4.13,21.9
7.08,22
2.09,22.1
58.86,22.1
4.76,22.2
0.95,22.3
2.55,22.4
8.53,22.7
9.76,22.9
5.92,23.2
12.33,23.2
6.62,36.2
18.71,111.2
