N,Average,Max
1,0.1,1
2,0.1,1.4
3,2.3,1.6
4,0.8,4.2
5,4,4.2
6,4.6,4.3
7,7.3,2.8
8,6.6,3.6
9,10.9,1.2
10,7.3,5
11,7.6,6.8
12,7.8,6.7
13,3.9,11.1
14,10,5.3
15,9.2,6.5
16,14.7,1
17,14.1,1.7
18,11.9,4
19,6.9,9.3
20,8.2,8.3
21,9.3,7.2
22,9.5,7
23,9.8,6.7
24,10.7,6.3
25,11.2,5.8
26,12.4,4.7
27,12.8,4.6
28,13.2,4.2
29,13.7,3.7
30,2.4,15.3
31,11.6,6.1
32,12.4,5.4
33,4.9,13
34,12.2,5.8
35,3,15.1
36,7.5,10.6
37,11.8,6.3
38,6.8,11.4
39,10.6,7.7
40,13.6,4.8
41,10.4,8.1
42,12.5,6
43,11.4,7.2
44,13.6,5
45,9.4,9.5
46,1.3,17.8
47,3.1,16
48,10.3,8.8
49,14,5.1
50,8.7,10.6
51,6.3,13.1
52,17.4,2.1
53,14.3,5.4
54,15.1,4.7
55,16.1,3.9
56,16.3,3.7
57,7.4,13
58,16.2,4.2
59,13.4,7.1
60,12.6,8
61,13,7.6
62,13.4,7.2
63,8.2,12.5
64,14.5,6.2
65,16.5,4.2
66,6.4,14.5
67,14.6,6.4
68,10.7,10.5
69,13.9,7.3
70,6.6,14.9
71,10.4,11.1
72,18.8,2.7
73,9,12.7
74,11.5,10.3
75,13.1,8.7
76,15.5,6.3
77,15.3,6.6
78,17.8,4.2
79,10,12.1
80,10.8,11.4
81,2,20.3
82,12.9,9.4
83,17.4,4.9
84,11,11.4
85,15.6,6.8
86,9.2,13.5
87,11.9,11
88,12.1,11.1
89,9.6,13.7
90,11.7,11.6
91,12,11.3
92,12.8,10.5
93,12.8,10.8
94,15.3,8.3
95,16.7,7
96,20.3,3.6
97,16.8,7.2
98,14.8,9.3
99,16.2,7.9
100,19.5,4.6
101,15.3,8.9
102,16.4,7.8
103,15,9.3
104,16.9,7.5
105,17.2,7.2
106,15.1,9.4
107,17.3,7.2
108,15.6,9
109,14.3,10.4
110,14.8,9.9
111,16.1,8.6
112,16.1,8.6
113,16.6,8.1
114,13,11.8
115,16.2,8.6
116,18.9,5.9
117,15.1,9.8
118,15.2,9.7
119,15.6,9.3
120,16,8.9
121,14.7,10.3
122,15.4,9.6
123,17.2,7.8
124,11.6,13.5
125,15,10.1
126,15.9,9.2
127,16,9.1
128,17.6,7.5
129,11.5,13.7
130,13.9,11.3
131,17.3,7.9
132,10.1,15.3
133,15.5,9.9
134,16.4,9
135,18.2,7.2
136,15.6,9.9
137,17.2,8.3
138,16.5,9.1
139,17.4,8.2
140,12,13.7
141,13.9,11.8
142,16.7,9
143,14.1,11.7
144,20.3,5.5
145,13.9,12
146,16.8,9.1
147,17.8,8.1
148,15.3,10.7
149,16.2,9.8
150,16.8,9.2
151,14.3,11.8
152,16.3,9.8
153,14.5,11.7
154,16.8,9.4
155,16.9,9.3
156,20.7,5.5
157,13.2,13.1
158,14.5,11.8
159,16,10.3
160,16.5,9.8
161,17.5,8.8
162,14.8,11.6
163,17.3,9.1
164,15,11.5
165,10.2,16.4
166,14,12.6
167,15.3,11.4
168,19,7.7
169,16.4,10.4
170,9.3,17.6
171,21,6
172,9.7,17.4
173,15.4,11.7
174,15.6,11.5
175,17,10.1
176,15.4,11.8
177,18.3,8.9
178,19.2,8
179,16,11.4
180,17.1,10.3
181,17.2,10.2
182,13.6,13.9
183,17.7,9.8
184,17.8,9.7
185,20.3,7.2
186,13,14.6
187,15,12.6
188,18.6,9
189,14.4,13.3
190,15.1,12.6
191,17.7,10.1
192,19.3,8.5
193,20.1,7.7
194,19.4,8.5
195,14.4,13.7
196,17.7,10.4
