country;suicides_no
Albania;1970
Antigua and Barbuda;11
Argentina;82219
Armenia;1905
Aruba;101
Australia;70111
Austria;50073
Azerbaijan;1656
Bahamas;93
Bahrain;463
Barbados;177
Belarus;59892
Belgium;62761
Belize;348
Bosnia and Herzegovina;318
Brazil;226613
Bulgaria;36388
Cabo Verde;42
Canada;107561
Chile;40895
Colombia;53080
Costa Rica;6792
Croatia;18429
Cuba;41418
Cyprus;412
Czech Republic;43687
Denmark;15297
Dominica;0
Ecuador;20660
El Salvador;11683
Estonia;7034
Fiji;304
Finland;33677
France;329127
Georgia;3224
Germany;291262
Greece;12368
Grenada;38
Guatemala;8149
Guyana;3426
Hungary;73891
Iceland;1108
Ireland;12574
Israel;11294
Italy;132060
Jamaica;184
Japan;806902
Kazakhstan;101546
Kiribati;53
Kuwait;966
Kyrgyzstan;13090
Latvia;12770
Lithuania;28039
Luxembourg;1958
Macau;27
Maldives;20
Malta;585
Mauritius;3894
Mexico;111139
Mongolia;423
Montenegro;472
Netherlands;50833
New Zealand;14383
Nicaragua;2013
Norway;16992
Oman;33
Panama;3483
Paraguay;4783
Philippines;21330
Poland;139098
Portugal;24061
Puerto Rico;9043
Qatar;574
Republic of Korea;261730
Romania;72777
Russian Federation;1209742
Saint Kitts and Nevis;0
Saint Lucia;230
Saint Vincent and Grenadines;124
San Marino;4
Serbia;24179
Seychelles;98
Singapore;10089
Slovakia;13437
Slovenia;10615
South Africa;7321
Spain;100202
Sri Lanka;55641
Suriname;2166
Sweden;37795
Switzerland;26217
Thailand;110643
Trinidad and Tobago;4039
Turkey;10131
Turkmenistan;8624
Ukraine;319950
United Arab Emirates;622
United Kingdom;136805
United States;1034013
Uruguay;13138
Uzbekistan;34803
