dayofyear;2013;2014;2015;2016;2017;2018
1;;92805.25;93066.66666666667;82345.95833333333;79508.79166666667;123242.95833333333
2;;103386.625;92179.08333333333;85345.625;84377.79166666667;121171.0
3;;114307.0;89737.79166666667;86118.29166666667;89354.375;120569.66666666667
4;;107467.66666666667;82184.0;99564.16666666667;92950.79166666667;127762.08333333333
5;;96549.29166666667;101075.41666666667;108979.625;104918.875;125435.29166666667
6;;107675.54166666667;110345.16666666667;104951.95833333333;107462.95833333333;120146.58333333333
7;;130513.625;117821.08333333333;97491.83333333333;110152.25;112185.41666666667
8;;121172.125;126341.29166666667;93206.875;112231.83333333333;100891.125
9;;108839.29166666667;114186.33333333333;82492.95833333333;117327.20833333333;99476.875
10;;102094.5;111651.08333333333;82574.0;108686.83333333333;90097.04166666667
11;;88170.16666666667;103360.58333333333;103190.625;94028.5;88045.66666666667
12;;86160.375;102417.79166666667;105224.95833333333;87153.125;96089.91666666667
13;;95037.33333333333;106319.70833333333;110397.875;88759.33333333333;108369.08333333333
14;;92891.95833333333;112217.875;99820.0;90434.58333333333;114322.5
15;;98411.95833333333;106279.04166666667;92860.95833333333;86740.29166666667;109940.04166666667
16;;102783.625;102251.91666666667;85678.875;93864.75;114427.91666666667
17;;101449.45833333333;96307.0;92488.5;90729.45833333333;114479.875
18;;100145.29166666667;90087.41666666667;112872.625;89261.25;103937.54166666667
19;;96133.5;95594.125;118717.91666666667;90202.70833333333;89373.375
20;;97589.20833333333;97690.33333333333;113437.5;90032.83333333333;83310.70833333333
21;;109918.70833333333;100371.70833333333;107876.83333333333;79544.95833333333;86186.41666666667
22;;123933.54166666667;100672.875;110878.0;76862.29166666667;88002.0
23;;123329.08333333333;100170.20833333333;104053.25;89331.375;95809.95833333333
24;;125220.20833333333;93785.20833333333;97922.95833333333;92879.08333333333;99538.25
25;;112301.70833333333;89668.29166666667;102056.08333333333;89063.04166666667;97466.29166666667
26;;106098.58333333333;103386.125;96732.54166666667;89983.79166666667;85367.58333333333
27;;109599.70833333333;107016.04166666667;96549.375;95676.79166666667;79806.91666666667
28;;125292.95833333333;108660.375;100237.33333333333;91539.375;93967.41666666667
29;;124671.91666666667;107033.41666666667;97743.375;88528.0;104131.79166666667
30;;119887.375;102930.29166666667;90138.58333333333;99688.04166666667;105844.75
31;;105988.08333333333;103858.0;80724.08333333333;98716.70833333333;97142.70833333333
32;;93205.08333333333;95632.70833333333;86060.0;93309.54166666667;105361.375
