Datetime,energy_total_east,Datetime,dayofweek
2013-06-01,96866.21739130435,2013-06-01,5
2013-06-02,89456.625,2013-06-02,6
2013-06-03,90663.33333333333,2013-06-03,0
2013-06-04,85008.75,2013-06-04,1
2013-06-05,85768.625,2013-06-05,2
2013-06-06,85048.25,2013-06-06,3
2013-06-07,83542.83333333333,2013-06-07,4
2013-06-08,77794.625,2013-06-08,5
2013-06-09,80403.25,2013-06-09,6
2013-06-10,91906.33333333333,2013-06-10,0
2013-06-11,95946.95833333333,2013-06-11,1
2013-06-12,101021.58333333333,2013-06-12,2
2013-06-13,94967.45833333333,2013-06-13,3
2013-06-14,85448.54166666667,2013-06-14,4
2013-06-15,81263.125,2013-06-15,5
2013-06-16,83107.75,2013-06-16,6
2013-06-17,100971.54166666667,2013-06-17,0
2013-06-18,94098.08333333333,2013-06-18,1
2013-06-19,89338.875,2013-06-19,2
2013-06-20,92619.16666666667,2013-06-20,3
2013-06-21,95155.45833333333,2013-06-21,4
2013-06-22,93208.41666666667,2013-06-22,5
2013-06-23,96180.83333333333,2013-06-23,6
2013-06-24,110356.125,2013-06-24,0
2013-06-25,112005.58333333333,2013-06-25,1
2013-06-26,108535.08333333333,2013-06-26,2
2013-06-27,106779.25,2013-06-27,3
2013-06-28,104091.75,2013-06-28,4
2013-06-29,91381.66666666667,2013-06-29,5
2013-06-30,89580.70833333333,2013-06-30,6
2013-07-01,96241.91666666667,2013-07-01,0
2013-07-02,98025.0,2013-07-02,1
2013-07-03,100266.75,2013-07-03,2
2013-07-04,94910.75,2013-07-04,3
2013-07-05,102744.66666666667,2013-07-05,4
2013-07-06,103204.33333333333,2013-07-06,5
2013-07-07,101856.91666666667,2013-07-07,6
2013-07-08,109186.58333333333,2013-07-08,0
2013-07-09,111502.29166666667,2013-07-09,1
2013-07-10,112793.70833333333,2013-07-10,2
2013-07-11,104580.58333333333,2013-07-11,3
2013-07-12,95667.20833333333,2013-07-12,4
2013-07-13,94467.58333333333,2013-07-13,5
2013-07-14,103925.54166666667,2013-07-14,6
2013-07-15,121614.58333333333,2013-07-15,0
2013-07-16,125642.95833333333,2013-07-16,1
2013-07-17,127293.41666666667,2013-07-17,2
2013-07-18,131015.29166666667,2013-07-18,3
2013-07-19,131190.29166666666,2013-07-19,4
2013-07-20,113430.125,2013-07-20,5
2013-07-21,103393.25,2013-07-21,6
2013-07-22,110485.125,2013-07-22,0
2013-07-23,110716.875,2013-07-23,1
2013-07-24,100613.91666666667,2013-07-24,2
2013-07-25,91063.83333333333,2013-07-25,3
2013-07-26,93166.33333333333,2013-07-26,4
2013-07-27,86566.66666666667,2013-07-27,5
2013-07-28,83388.75,2013-07-28,6
2013-07-29,93036.33333333333,2013-07-29,0
2013-07-30,93137.08333333333,2013-07-30,1
2013-07-31,93800.54166666667,2013-07-31,2
2013-08-01,95712.54166666667,2013-08-01,3
2013-08-02,96483.625,2013-08-02,4
2013-08-03,87235.75,2013-08-03,5
2013-08-04,81791.375,2013-08-04,6
2013-08-05,88850.16666666667,2013-08-05,0
2013-08-06,92533.45833333333,2013-08-06,1
2013-08-07,99603.20833333333,2013-08-07,2
2013-08-08,103619.70833333333,2013-08-08,3
2013-08-09,105797.08333333333,2013-08-09,4
2013-08-10,94896.91666666667,2013-08-10,5
2013-08-11,90057.5,2013-08-11,6
2013-08-12,104101.45833333333,2013-08-12,0
2013-08-13,100113.625,2013-08-13,1
2013-08-14,86944.33333333333,2013-08-14,2
2013-08-15,84935.375,2013-08-15,3
2013-08-16,86240.75,2013-08-16,4
2013-08-17,81080.83333333333,2013-08-17,5
2013-08-18,79332.33333333333,2013-08-18,6
2013-08-19,92257.91666666667,2013-08-19,0
2013-08-20,101300.375,2013-08-20,1
2013-08-21,106508.5,2013-08-21,2
2013-08-22,105238.83333333333,2013-08-22,3
2013-08-23,97841.79166666667,2013-08-23,4
2013-08-24,86543.20833333333,2013-08-24,5
2013-08-25,86061.95833333333,2013-08-25,6
2013-08-26,101581.04166666667,2013-08-26,0
2013-08-27,111222.91666666667,2013-08-27,1
2013-08-28,108278.0,2013-08-28,2
2013-08-29,107014.45833333333,2013-08-29,3
2013-08-30,107034.625,2013-08-30,4
2013-08-31,98593.25,2013-08-31,5
2013-09-01,96057.125,2013-09-01,6
2013-09-02,95907.91666666667,2013-09-02,0
2013-09-03,96701.5,2013-09-03,1
2013-09-04,92699.875,2013-09-04,2
2013-09-05,92912.66666666667,2013-09-05,3
2013-09-06,86744.16666666667,2013-09-06,4
2013-09-07,82052.20833333333,2013-09-07,5
2013-09-08,86206.04166666667,2013-09-08,6
2013-09-09,96547.0,2013-09-09,0
2013-09-10,112807.125,2013-09-10,1
2013-09-11,116914.33333333333,2013-09-11,2
2013-09-12,106803.20833333333,2013-09-12,3
2013-09-13,87928.125,2013-09-13,4
2013-09-14,72531.54166666667,2013-09-14,5
2013-09-15,70785.0,2013-09-15,6
2013-09-16,81714.91666666667,2013-09-16,0
2013-09-17,80321.45833333333,2013-09-17,1
2013-09-18,81662.625,2013-09-18,2
2013-09-19,86017.29166666667,2013-09-19,3
2013-09-20,88155.54166666667,2013-09-20,4
2013-09-21,77244.58333333333,2013-09-21,5
2013-09-22,71451.875,2013-09-22,6
2013-09-23,78491.91666666667,2013-09-23,0
2013-09-24,79992.125,2013-09-24,1
2013-09-25,80456.33333333333,2013-09-25,2
2013-09-26,81691.45833333333,2013-09-26,3
2013-09-27,80643.16666666667,2013-09-27,4
2013-09-28,73663.0,2013-09-28,5
2013-09-29,70003.83333333333,2013-09-29,6
2013-09-30,80568.08333333333,2013-09-30,0
2013-10-01,84013.08333333333,2013-10-01,1
2013-10-02,87770.16666666667,2013-10-02,2
2013-10-03,88962.20833333333,2013-10-03,3
2013-10-04,91188.5,2013-10-04,4
2013-10-05,85508.5,2013-10-05,5
2013-10-06,81483.41666666667,2013-10-06,6
2013-10-07,84176.66666666667,2013-10-07,0
2013-10-08,79179.54166666667,2013-10-08,1
2013-10-09,79118.29166666667,2013-10-09,2
2013-10-10,80252.20833333333,2013-10-10,3
2013-10-11,79846.41666666667,2013-10-11,4
2013-10-12,72632.54166666667,2013-10-12,5
2013-10-13,69893.54166666667,2013-10-13,6
2013-10-14,78381.5,2013-10-14,0
2013-10-15,80138.5,2013-10-15,1
2013-10-16,80504.83333333333,2013-10-16,2
2013-10-17,81495.25,2013-10-17,3
2013-10-18,78950.08333333333,2013-10-18,4
2013-10-19,73044.25,2013-10-19,5
2013-10-20,71079.54166666667,2013-10-20,6
2013-10-21,80701.04166666667,2013-10-21,0
2013-10-22,81548.83333333333,2013-10-22,1
2013-10-23,84058.70833333333,2013-10-23,2
2013-10-24,86761.125,2013-10-24,3
2013-10-25,86765.16666666667,2013-10-25,4
2013-10-26,80511.5,2013-10-26,5
2013-10-27,74580.875,2013-10-27,6
2013-10-28,83988.875,2013-10-28,0
2013-10-29,83177.95833333333,2013-10-29,1
2013-10-30,82627.29166666667,2013-10-30,2
2013-10-31,81441.41666666667,2013-10-31,3
2013-11-01,79611.29166666667,2013-11-01,4
2013-11-02,73235.58333333333,2013-11-02,5
2013-11-03,75235.95652173914,2013-11-03,6
2013-11-04,87565.66666666667,2013-11-04,0
2013-11-05,85970.29166666667,2013-11-05,1
2013-11-06,82918.33333333333,2013-11-06,2
2013-11-07,83604.375,2013-11-07,3
2013-11-08,87287.04166666667,2013-11-08,4
2013-11-09,81392.83333333333,2013-11-09,5
2013-11-10,76812.33333333333,2013-11-10,6
2013-11-11,87255.875,2013-11-11,0
2013-11-12,93428.29166666667,2013-11-12,1
2013-11-13,97659.70833333333,2013-11-13,2
2013-11-14,94345.79166666667,2013-11-14,3
2013-11-15,89240.0,2013-11-15,4
2013-11-16,78104.54166666667,2013-11-16,5
2013-11-17,73614.08333333333,2013-11-17,6
2013-11-18,82078.45833333333,2013-11-18,0
2013-11-19,89111.66666666667,2013-11-19,1
2013-11-20,92572.79166666667,2013-11-20,2
2013-11-21,90980.41666666667,2013-11-21,3
2013-11-22,85791.66666666667,2013-11-22,4
2013-11-23,84379.625,2013-11-23,5
2013-11-24,96102.625,2013-11-24,6
2013-11-25,104418.08333333333,2013-11-25,0
2013-11-26,99523.20833333333,2013-11-26,1
2013-11-27,97999.625,2013-11-27,2
2013-11-28,90306.0,2013-11-28,3
2013-11-29,90527.58333333333,2013-11-29,4
2013-11-30,90328.70833333333,2013-11-30,5
2013-12-01,86745.91666666667,2013-12-01,6
2013-12-02,92142.33333333333,2013-12-02,0
2013-12-03,91162.625,2013-12-03,1
2013-12-04,88997.25,2013-12-04,2
2013-12-05,87075.04166666667,2013-12-05,3
2013-12-06,91376.125,2013-12-06,4
2013-12-07,91898.29166666667,2013-12-07,5
2013-12-08,97935.04166666667,2013-12-08,6
2013-12-09,102315.25,2013-12-09,0
2013-12-10,105209.70833333333,2013-12-10,1
2013-12-11,107404.45833333333,2013-12-11,2
2013-12-12,110423.91666666667,2013-12-12,3
2013-12-13,106349.08333333333,2013-12-13,4
2013-12-14,98218.83333333333,2013-12-14,5
2013-12-15,94875.20833333333,2013-12-15,6
2013-12-16,105457.08333333333,2013-12-16,0
2013-12-17,105170.33333333333,2013-12-17,1
2013-12-18,104345.79166666667,2013-12-18,2
2013-12-19,100022.54166666667,2013-12-19,3
2013-12-20,91892.375,2013-12-20,4
2013-12-21,81203.0,2013-12-21,5
2013-12-22,77518.08333333333,2013-12-22,6
2013-12-23,87015.08333333333,2013-12-23,0
2013-12-24,93287.625,2013-12-24,1
2013-12-25,93795.79166666667,2013-12-25,2
2013-12-26,97471.83333333333,2013-12-26,3
2013-12-27,95773.16666666667,2013-12-27,4
2013-12-28,87433.70833333333,2013-12-28,5
2013-12-29,84364.16666666667,2013-12-29,6
2013-12-30,95393.375,2013-12-30,0
2013-12-31,98176.95833333333,2013-12-31,1
2014-01-01,92805.25,2014-01-01,2
2014-01-02,103386.625,2014-01-02,3
2014-01-03,114307.0,2014-01-03,4
2014-01-04,107467.66666666667,2014-01-04,5
2014-01-05,96549.29166666667,2014-01-05,6
2014-01-06,107675.54166666667,2014-01-06,0
2014-01-07,130513.625,2014-01-07,1
2014-01-08,121172.125,2014-01-08,2
2014-01-09,108839.29166666667,2014-01-09,3
2014-01-10,102094.5,2014-01-10,4
2014-01-11,88170.16666666667,2014-01-11,5
2014-01-12,86160.375,2014-01-12,6
2014-01-13,95037.33333333333,2014-01-13,0
2014-01-14,92891.95833333333,2014-01-14,1
2014-01-15,98411.95833333333,2014-01-15,2
2014-01-16,102783.625,2014-01-16,3
2014-01-17,101449.45833333333,2014-01-17,4
2014-01-18,100145.29166666667,2014-01-18,5
2014-01-19,96133.5,2014-01-19,6
