,Date,Result,Rounds,Map,Position,Kills,Assists,Deaths,KR,KD,HS,HSP,Period
0,b'2017-11-04',1,36,cache,3,24,6,28,0.67,0.86,10,42,1
1,b'2017-11-04',0,19,cache,4,11,3,15,0.58,0.73,3,27,1
2,b'2017-11-04',1,36,overpass,5,23,11,26,0.64,0.88,7,30,1
3,b'2017-11-05',1,25,train,3,16,3,13,0.64,1.23,2,12,1
4,b'2017-11-05',0,35,mirage,5,20,4,25,0.57,0.8,2,10,1
5,b'2017-11-05',1,18,inferno,4,15,2,7,0.83,2.14,8,53,1
6,b'2017-11-05',0,22,mirage,3,13,1,17,0.59,0.76,7,54,1
7,b'2017-11-06',0,18,dust2,2,6,1,16,0.33,0.38,2,33,1
8,b'2017-11-06',1,30,dust2,5,15,4,19,0.5,0.79,3,20,1
9,b'2017-11-06',0,29,mirage,2,24,2,23,0.83,1.04,7,29,1
10,b'2017-11-06',1,27,cache,4,18,3,15,0.67,1.2,5,28,1
11,b'2017-11-07',1,27,mirage,4,13,6,19,0.48,0.68,4,31,1
12,b'2017-11-07',0,26,mirage,5,8,2,21,0.31,0.38,1,12,1
13,b'2017-11-08',0,41,inferno,5,22,5,28,0.54,0.79,2,9,1
14,b'2017-11-08',0,25,mirage,3,15,2,21,0.6,0.71,3,20,1
15,b'2017-11-08',0,26,mirage,3,18,4,23,0.69,0.78,12,67,1
16,b'2017-11-08',0,24,cache,3,12,4,22,0.5,0.55,3,25,1
17,b'2017-11-08',1,23,overpass,5,13,5,16,0.57,0.81,5,38,1
18,b'2017-11-08',0,21,cache,4,8,2,20,0.38,0.4,5,62,1
19,b'2017-11-09',1,21,mirage,5,13,6,12,0.62,1.08,4,31,1
20,b'2017-11-21',0,22,mirage,4,9,1,15,0.41,0.6,4,44,1
21,b'2017-11-23',0,28,cache,5,13,4,24,0.46,0.54,6,46,1
22,b'2017-11-27',1,21,mirage,3,17,2,15,0.81,1.13,8,47,1
23,b'2017-11-29',0,30,dust2,5,16,1,19,0.53,0.84,7,44,1
24,b'2017-11-30',1,22,inferno,5,9,9,16,0.41,0.56,2,22,1
25,b'2017-12-01',1,27,inferno,2,24,5,13,0.89,1.85,9,38,1
26,b'2017-12-03',1,23,overpass,5,13,4,9,0.57,1.44,3,23,1
27,b'2017-12-05',0,25,cbble,5,10,6,23,0.4,0.43,6,60,1
28,b'2017-12-05',0,30,cache,1,31,3,23,1.03,1.35,15,48,1
29,b'2017-12-06',1,18,mirage,3,16,3,8,0.89,2.0,3,19,1
30,b'2017-12-24',0,23,mirage,4,7,2,22,0.3,0.32,2,29,1
31,b'2017-12-24',0,29,cache,3,23,4,21,0.79,1.1,6,26,1
32,b'2017-12-24',1,29,mirage,5,8,8,24,0.28,0.33,1,12,1
33,b'2017-12-24',0,18,cache,4,7,1,17,0.39,0.41,0,0,1
34,b'2017-12-24',0,27,mirage,5,11,1,23,0.41,0.48,5,45,1
35,b'2017-12-24',0,19,inferno,1,16,4,14,0.84,1.14,4,25,1
36,b'2017-12-24',0,24,train,1,27,2,16,1.12,1.69,14,52,1
37,b'2017-12-24',1,24,train,3,18,4,18,0.75,1.0,2,11,1
38,b'2017-12-25',0,36,mirage,5,18,6,29,0.5,0.62,4,22,1
39,b'2017-12-25',1,26,cache,3,18,2,17,0.69,1.06,8,44,1
40,b'2017-12-25',0,19,mirage,3,9,1,18,0.47,0.5,2,22,1
41,b'2017-12-25',1,30,overpass,3,22,7,21,0.73,1.05,1,5,1
42,b'2017-12-25',0,27,inferno,2,19,4,22,0.7,0.86,6,32,1
43,b'2017-12-25',0,19,cache,4,6,2,17,0.32,0.35,1,17,1
44,b'2017-12-25',0,26,overpass,4,14,2,21,0.54,0.67,4,29,1
45,b'2017-12-25',0,24,overpass,4,15,3,20,0.62,0.75,5,33,1
46,b'2017-12-25',0,34,inferno,5,16,9,30,0.47,0.53,1,6,1
47,b'2017-12-25',0,25,mirage,2,18,0,19,0.72,0.95,4,22,1
48,b'2017-12-26',0,29,overpass,4,17,1,22,0.59,0.77,6,35,1
49,b'2017-12-31',1,24,cache,3,19,10,13,0.79,1.46,5,26,1
50,b'2018-01-01',0,9,overpass,2,5,2,8,0.56,0.62,3,60,1
51,b'2018-01-07',0,28,mirage,1,29,3,21,1.04,1.38,11,38,1
52,b'2018-01-07',0,24,dust2,3,12,4,17,0.5,0.71,3,25,1
53,b'2018-01-09',0,30,mirage,3,21,0,19,0.7,1.11,6,29,1
54,b'2018-01-09',1,19,mirage,4,14,9,9,0.74,1.56,5,36,1
