developer,owners
Valve,645000000
Feral Interactive (Mac),111520000
Hidden Path Entertainment,111200000
PUBG Corporation,100000000
Feral Interactive (Linux),71700000
Aspyr (Mac),65500000
Digital Extremes,62100000
Bethesda Game Studios,50400000
Smartly Dressed Games,50000000
Firaxis Games,41600000
Gearbox Software,39800000
Relic Entertainment,36100000
Ubisoft Montreal,35640000
Aspyr (Linux),32000000
Avalanche Studios,30200000
Facepunch Studios,30040000
CREATIVE ASSEMBLY,29500000
Rockstar North,27500000
Bohemia Interactive,26940000
Crystal Dynamics,22100000
"CAPCOM Co., Ltd.",21870000
id Software,21700000
Trion Worlds,21550000
Gaijin Entertainment,21200000
CD PROJEKT RED,20400000
My.com,20220000
Freejam,20050000
RETO MOTO,20000000
Grinding Gear Games,20000000
Blue Mammoth Games,20000000
Evil Mojo Games,20000000
NantG,20000000
OVERKILL - a Starbreeze Studio.,20000000
Obsidian Entertainment,19400000
Ensemble Studios,18000000
Eidos-Montréal,18000000
Paradox Development Studio,17300000
Tripwire Interactive,17020000
Splash Damage,17000000
Daybreak Game Company,17000000
Square Enix,16880000
SCS Software,16250000
Infinity Ward,16000000
Double Fine Productions,15920000
Little Orbit,15000000
2K Australia,15000000
Klei Entertainment,14100000
Cryptic Studios,14000000
Treyarch,14000000
Croteam,13810000
LucasArts,13610000
Capcom,13250000
DONTNOD Entertainment,12700000
Volition,12400000
BioWare,12220000
Coffee Stain Studios,12200000
Rocksteady Studios,12100000
Rockstar Games,12020000
Instinct Games,12000000
IO Interactive A/S,12000000
Haemimont Games,11900000
Team17 Digital Ltd,11570000
Colossal Order Ltd.,11500000
Remedy Entertainment,11100000
Expansive Worlds,11000000
Virtual Basement LLC,10800000
Arkane Studios,10720000
Larian Studios,10500000
The Behemoth,10500000
Novalink,10220000
Wargaming Group Limited,10200000
Playsaurus,10200000
Behaviour Digital Inc.,10100000
Titan Forge Games,10000000
Studio Wildcard,10000000
Re-Logic,10000000
Io-Interactive A/S,10000000
Torn Banner Studios,10000000
