publisher,owners
Valve,685000000
Ubisoft,111100000
SEGA,108220000
2K,107680000
Feral Interactive (Mac),102520000
PUBG Corporation,100000000
Square Enix,99380000
Bethesda Softworks,93120000
Feral Interactive (Linux),71700000
Aspyr (Mac),67500000
Electronic Arts,61150000
Paradox Interactive,57120000
Rockstar Games,52520000
Smartly Dressed Games,50000000
Digital Extremes,50000000
Devolver Digital,49140000
Deep Silver,46270000
Warner Bros. Interactive Entertainment,45330000
Disney Interactive,43350000
LucasArts,42150000
Daybreak Game Company,42000000
Lucasfilm,41520000
Hi-Rez Studios,40500000
Activision,38980000
THQ Nordic,35810000
Aspyr (Linux),32000000
Microsoft Studios,30300000
Gaijin Entertainment,30200000
Bohemia Interactive,28540000
BANDAI NAMCO Entertainment,28510000
Back To Basics Gaming,24420000
Trion Worlds,23550000
Coffee Stain Publishing,23240000
Kalypso Media Digital,22160000
Capcom,21650000
My.com,21620000
Tripwire Interactive,20520000
CD PROJEKT RED,20400000
Codemasters,20400000
Team17 Digital Ltd,20150000
Starbreeze Publishing AB,20090000
Freejam,20050000
RETO MOTO,20000000
Grinding Gear Games,20000000
"CAPCOM Co., Ltd.",19870000
KISS ltd,19680000
Focus Home Interactive,18950000
Klei Entertainment,16000000
SCS Software,16000000
Double Fine Productions,15620000
Little Orbit,15000000
Topware Interactive,14700000
Perfect World Entertainment,14100000
Daedalic Entertainment,13890000
Sometimes You,13730000
New Reality Games,12810000
1C-SoftClub,12600000
Frictional Games,12500000
1C Entertainment,12420000
"Nicalis, Inc.",12320000
505 Games,11710000
Fellow Traveller,11400000
Dagestan Technology,11300000
Avalanche Studios,11000000
Stardock Entertainment,10970000
Sekai Project,10720000
id Software,10700000
The Behemoth,10500000
Larian Studios,10500000
Novalink,10220000
Playsaurus,10220000
Re-Logic,10100000
Behaviour Digital Inc.,10100000
Facepunch Studios,10040000
Feral interactive (Mac),10020000
Wargaming Group Limited,10000000
Lever Games,10000000
Fredaikis AB,10000000
NS STUDIO,10000000
Warchest Ltd.,10000000
Torn Banner Studios,10000000
Kristjan Skutta,10000000
Io-Interactive A/S,10000000
Studio Wildcard,10000000
