developer,owners
Valve,393000000
Hidden Path Entertainment,100000000
Digital Extremes,50000000
Smartly Dressed Games,50000000
Trion Worlds,21550000
Feral Interactive (Mac),20500000
My.com,20200000
Freejam,20000000
NantG,20000000
Evil Mojo Games,20000000
Gaijin Entertainment,20000000
RETO MOTO,20000000
Grinding Gear Games,20000000
Blue Mammoth Games,20000000
Splash Damage,17000000
Daybreak Game Company,17000000
Feral Interactive (Linux),15500000
Little Orbit,15000000
Cryptic Studios,14000000
Avalanche Studios,12000000
CREATIVE ASSEMBLY,11000000
DONTNOD Entertainment,11000000
Wargaming Group Limited,10200000
Novalink,10200000
Playsaurus,10000000
"Valve Corporation, Nexon Korea Corporation",10000000
Fredaikis AB,10000000
Expansive Worlds,10000000
No More Room in Hell Team,10000000
NS STUDIO,10000000
Titan Forge Games,10000000
Hyper Hippo Games,7000000
Freakinware Studios,7000000
Stunlock Studios,6500000
Atelier 801,6000000
Relic Entertainment,6000000
U.S. Army,6000000
"Standing Stone Games, LLC",6000000
"Grey Havens, LLC",5600000
Hi-Rez Studios,5500000
"Rocketeer Games Studio, LLC",5200000
X-Legend,5200000
"IMCGAMES Co.,Ltd.",5200000
Artplant,5200000
Vostok Games,5000000
Playful Corp.,5000000
Fishing Planet LLC,5000000
"Monolith Productions, Inc.",5000000
Automaton,5000000
Joycity,5000000
Mgame,5000000
Aurora Studio,5000000
Stainless Games Ltd.,5000000
Cybertime System,5000000
VRChat Inc.,5000000
"Masangsoft, Inc.",5000000
Team Psykskallar,5000000
WB Games Montreal,5000000
CodeBrush Games,5000000
Sector3 Studios,5000000
Hoobalugalar_X,5000000
Team Salvato,5000000
Targem Games,5000000
Star Gem Inc.,5000000
Fistful of Frags Team,5000000
Eagle Dynamics SA,5000000
Free Lives,5000000
Doctor Entertainment AB,5000000
Bethesda Game Studios,5000000
"Dragonfly GF Co., LTD",5000000
Ronimo Games,5000000
Wild Shadow Studios,5000000
Northwood Studios,5000000
Trendy Entertainment,5000000
Noble Empire Corp.,5000000
Noah System,5000000
BlackSpot Entertainment,5000000
Toadman Interactive,5000000
Bohemia Interactive,5000000
Jagex,5000000
Deca Games,5000000
Reactive Drop Team,5000000
Nabi Studios,5000000
Awesome Games Studio,5000000
Nadeo,5000000
Double Action Factory,5000000
Sven Co-op Team,5000000
Heroic Leap Games,5000000
Funcom,4100000
"KOEI TECMO GAMES CO., LTD.",3650000
Scott Cawthon,3500000
Ninja Kiwi,3070000
FireFly Studios,3000000
Gameloft,2800000
Eforb,2800000
Square Enix,2550000
id Software,2500000
Creability,2500000
Konami Digital Entertainment,2500000
Ankama Studio,2300000
Soccer Manager Ltd,2300000
Playa Games GmbH,2100000
AMPLITUDE Studios,2020000
Creobit,2020000
devCAT,2000000
Boss Key Productions,2000000
Soviet Games,2000000
Zeboyd Games,2000000
"Move Games Co., Ltd.",2000000
Game Science,2000000
"CAPCOM Co., Ltd.",2000000
Nexon Korea Corporation,2000000
Fabio Ferrara,2000000
Outerlight Ltd.,2000000
Virtual Heroes,2000000
Piranha Games Inc.,2000000
Carbon Games,2000000
Panzar Studio,2000000
Nexon,2000000
SnoutUp,2000000
Army Game Studio,2000000
CCP,2000000
Total Mayhem Games,2000000
Creaky Corpse Ltd,2000000
WEBZEN Inc.,2000000
Masthead Studios Ltd,2000000
Cruderocks,2000000
Desertkun,2000000
KOG,2000000
"JumpStart Games, Inc.",2000000
Vlambeer,2000000
Poppermost Productions,2000000
CyberCoconut,2000000
WeMade,2000000
"Sparkypants Studios, LLC",2000000
WastedStudios,2000000
Kyle Seeley,2000000
"Cygames, Inc.",2000000
"Lion Games Co., Ltd.",2000000
EVGA,2000000
Lag Studios,2000000
Wyrmbyte,2000000
S2 Games,2000000
Darkflow Software,2000000
Reperio Studios,2000000
XLGAMES,2000000
Rockstar North,2000000
Winged Cloud,2000000
DL Softworks,2000000
Home Net Games,1900000
Nival,1700000
Google,1510000
DR Studios,1500000
Crows Crows Crows,1500000
Codename Entertainment Inc.,1500000
Frictional Games,1500000
Pixonic,1500000
Unusualsoft,1200000
Panoramik Inc,1200000
Pragmatix Ltd,1200000
Azerion,1100000
Star Vault AB,1100000
Spasman Games,1050000
Sad Panda Studios,1050000
Archive Entertainment,1020000
Shokunin,1000000
Bernt Andreas Eide,1000000
Divine Games,1000000
Love in Space,1000000
BetaDwarf,1000000
Neople,1000000
Suspicious Developments,1000000
