developer,owners
Valve,252000000
PUBG Corporation,100000000
Feral Interactive (Mac),91020000
Aspyr (Mac),65500000
Feral Interactive (Linux),56200000
Bethesda Game Studios,45400000
Firaxis Games,41600000
Gearbox Software,38800000
Ubisoft Montreal,35640000
Aspyr (Linux),32000000
Relic Entertainment,30100000
Facepunch Studios,30040000
Rockstar North,25500000
Crystal Dynamics,22100000
Bohemia Interactive,21940000
CD PROJEKT RED,20400000
OVERKILL - a Starbreeze Studio.,20000000
"CAPCOM Co., Ltd.",19870000
id Software,19200000
Obsidian Entertainment,19200000
