publisher,owners
Valve,292000000
2K,106680000
PUBG Corporation,100000000
Feral Interactive (Mac),92020000
SEGA,87680000
Ubisoft,85100000
Square Enix,83130000
Bethesda Softworks,83100000
Aspyr (Mac),67500000
Electronic Arts,61150000
Paradox Interactive,57070000
Feral Interactive (Linux),56200000
Rockstar Games,50520000
Deep Silver,46270000
Disney Interactive,43250000
Devolver Digital,43140000
LucasArts,42150000
Lucasfilm,41520000
Activision,38980000
Warner Bros. Interactive Entertainment,35330000
