,gender,age
0,Female,30.2
1,Female,25.5
2,Male,28.9
3,Male,29.5
5,Female,21.8
6,Male,20.7
9,Male,30.9
12,Female,23.7
13,Male,29.3
14,Male,32.3
15,Male,35.6
16,Male,25.2
17,Female,28.4
18,Male,29.0
20,Male,28.3
23,Male,32.4
25,Male,35.3
27,Female,20.8
29,Male,22.7
31,Female,30.8
32,Male,35.8
35,Male,27.1
36,Male,25.1
37,Male,20.2
40,Female,26.2
43,Female,31.5
44,Female,34.7
45,Male,35.7
48,Male,29.5
50,Female,25.9
51,Male,24.1
52,Female,17.4
54,Male,30.9
56,Female,26.2
57,Female,28.4
58,Male,29.1
59,Female,21.8
60,Male,22.4
61,Female,30.8
62,Male,22.4
63,Male,19.4
65,Male,30.0
66,Male,23.4
67,Male,27.4
68,Female,34.8
70,Male,19.7
73,Female,21.0
76,Male,26.9
78,Male,24.7
79,Male,19.9
82,Male,35.5
84,Female,20.1
85,Male,24.2
86,Male,85.4
87,Male,21.1
88,Male,24.5
91,Female,89.7
94,Male,23.0
95,Female,31.1
98,Male,32.2
99,Male,27.2
108,Male,25.9
111,Female,24.7
113,Female,24.4
115,Male,20.7
116,Male,28.5
119,Male,46.5
120,Male,13.8
121,Male,20.6
122,Male,27.2
123,Male,23.7
124,Male,23.9
125,Female,22.5
126,Male,1.1
127,Male,30.3
128,Male,26.8
133,Male,25.8
135,Male,31.7
136,Male,31.5
137,Female,24.4
138,Male,20.7
140,Female,40.8
143,Male,21.5
144,Male,24.5
145,Female,28.3
146,Male,32.3
147,Female,32.5
150,Male,19.1
151,Female,31.4
152,Male,31.1
153,Male,31.0
156,Male,29.6
157,Female,22.1
159,Female,24.8
163,Male,26.5
164,Male,31.8
165,Male,20.9
168,Male,28.4
173,Male,26.4
174,Female,28.7
175,Male,22.4
176,Male,33.1
177,Female,31.8
182,No Data,31.5
183,No Data,23.9
184,Male,28.5
188,Male,22.5
190,No Data,32.5
193,Male,22.9
194,Male,26.4
196,Female,27.2
200,Male,25.0
204,Male,32.0
205,Female,19.6
206,Female,27.3
208,Male,33.4
210,Male,34.0
211,Female,26.7
212,Female,22.9
213,Male,33.2
214,Male,31.7
215,Female,21.0
216,Female,25.7
